slug,name,club,league,tier,pos,ireland_level
oisin-mcdonagh,Oisin McDonagh,Venezia,,abroad-lower,DEF,U19
oisin-obrien,Oisin O'Brien,Derry City,League of Ireland,loi,DEF,
orion-cala,Orion Cala,Waterford FC,League of Ireland,loi,FWD,
paddy-madden,Paddy Madden,Bohemian FC,League of Ireland,loi,FWD,
padraig-amond,Pádraig Amond,Waterford FC,League of Ireland,loi,FWD,
patrick-barrett,Patrick Barrett,Shelbourne,League of Ireland,loi,DEF,
patrick-mcclean,Patrick McClean,Derry City,League of Ireland,loi,DEF,
ramon-martos,Ramon Martos,Almería,,abroad-lower,MID,U19
robbie-brady,Robbie Brady,Preston North End,,abroad-lower,MID,Senior
robert-cornwall,Robert Cornwall,Dundalk,League of Ireland,loi,DEF,
rocco-vata,Rocco Vata,Watford,,abroad-lower,MID,Senior
ronan-boyce,Ronan Boyce,St. Patrick's Athletic,League of Ireland,loi,DEF,
ronan-maher,Ronan Maher,Walsall,,abroad-lower,MID,U21
ronan-teahan,Ronan Teahan,Dundalk,League of Ireland,loi,MID,
rory-finneran,Rory Finneran,Newcastle United,,abroad-lower,MID,Senior
rory-gaffney,Rory Gaffney,Shamrock Rovers,League of Ireland,loi,FWD,
ross-tierney,Ross Tierney,Bohemian FC,League of Ireland,loi,MID,
ryan-brennan,Ryan Brennan,Drogheda United,League of Ireland,loi,MID,
ryan-burke,Ryan Burke,Bohemian FC,League of Ireland,loi,DEF,
ryan-butler,Ryan Butler,Wexford,League of Ireland,loi,DEF,U19
ryan-manning,Ryan Manning,Southampton,,abroad-lower,DEF,Senior
ryan-markey,Ryan Markey,Drogheda United,League of Ireland,loi,FWD,
ryan-sheridan,Ryan Sheridan,St Patrick's Athletic,League of Ireland,loi,MID,U17
sam-curtis,Sam Curtis,Sheffield United,,abroad-lower,DEF,U21
sam-rooney,Sam Rooney,St. Patrick's Athletic,League of Ireland,loi,FWD,
sam-steward,Sam Steward,St. Patrick's Athletic,League of Ireland,loi,DEF,
sam-todd,Sam Todd,Bohemian FC,League of Ireland,loi,DEF,
sammie-szmodics,Sammie Szmodics,Blackburn Rovers,,abroad-lower,FWD,Senior
samuel-ogungbe,Samuel Ogungbe,St. Patrick's Athletic,League of Ireland,loi,FWD,
samuel-safaei,Samuel Safaei,Dundalk,League of Ireland,loi,GK,
seamus-coleman,Séamus Coleman,Everton,,abroad-lower,DEF,Senior
seamus-maughan,Seamus Maughan,Sligo Rovers,League of Ireland,loi,MID,
