slug,date,tag,headline,standfirst,body,author,image,player_slug,expires,use_player_photo,partner,partner_url,weight
report-2026-08-29-bristol-city-v-portsmouth,2026-08-29,,Jason Knight scores as Bristol City beat Portsmouth 2-1,"Championship: Jason Knight (1 goal, rated 8.2).","Bristol City beat Portsmouth 2-1 in the Championship on Saturday 29 August.

## The Irish on the pitch
- [Jason Knight](/player/jason-knight.html) scored 1, played 90 minutes, finished on a 8.2 match rating. That leaves the season at 1 goal and 0 assists in 3 appearances.",Jack Deane,,jason-knight,2026-09-01T00:00,yes,,,156
report-2026-08-29-dundee-united-v-kilmarnock,2026-08-29,,Will Ferry scores as Dundee United beat Kilmarnock 4-0,"Premiership: Will Ferry (1 goal, 1 assist, rated 8.9).","Dundee United beat Kilmarnock 4-0 in the Premiership on Saturday 29 August.

## The Irish on the pitch
- [Will Ferry](/player/will-ferry.html) scored 1, set up 1, played 90 minutes, finished on a 8.9 match rating. That leaves the season at 1 goal and 1 assist in 4 appearances.",Jack Deane,,will-ferry,2026-09-01T00:00,yes,,,136
report-2026-08-29-hull-city-v-coventry-city,2026-08-29,,John Egan shines as Hull City beat Coventry City 1-0,Premier League: John Egan (rated 7.5).,"Hull City beat Coventry City 1-0 in the Premier League on Saturday 29 August.

## The Irish on the pitch
- [John Egan](/player/john-egan.html) played 90 minutes, finished on a 7.5 match rating. That leaves the season at 0 goals and 0 assists in 2 appearances.",Jack Deane,,john-egan,2026-09-01T00:00,yes,,,134
report-2026-08-29-queens-park-rangers-v-blackburn-rovers,2026-08-29,,Jimmy Dunne scores as Queens Park Rangers beat Blackburn Rovers 2-1,"Championship: Jimmy Dunne (1 goal, rated 8.4).","Queens Park Rangers beat Blackburn Rovers 2-1 in the Championship on Saturday 29 August.

## The Irish on the pitch
- [Jimmy Dunne](/player/jimmy-dunne.html) scored 1, played 90 minutes, finished on a 8.4 match rating. That leaves the season at 1 goal and 0 assists in 3 appearances.",Jack Deane,,jimmy-dunne,2026-09-01T00:00,yes,,,123
report-2026-08-29-oldham-athletic-v-swindon-town,2026-08-29,,Calum Kavanagh scores as Oldham Athletic beat Swindon Town 3-0,"League Two: Calum Kavanagh (1 goal, 2 assists, rated 9.1).","Oldham Athletic beat Swindon Town 3-0 in the League Two on Saturday 29 August.

## The Irish on the pitch
- [Calum Kavanagh](/player/calum-kavanagh.html) scored 1, set up 2, played 90 minutes, finished on a 9.1 match rating. That leaves the season at 3 goals and 2 assists in 3 appearances.",Jack Deane,,calum-kavanagh,2026-09-01T00:00,yes,,,112
report-2026-08-29-celtic-v-falkirk,2026-08-29,,Liam Scales shines as Celtic beat Falkirk 2-1,Premiership: Liam Scales (rated 8.0).,"Celtic beat Falkirk 2-1 in the Premiership on Saturday 29 August.

## The Irish on the pitch
- [Liam Scales](/player/liam-scales.html) played 90 minutes, finished on a 8.0 match rating. That leaves the season at 0 goals and 0 assists in 1 appearances.",Jack Deane,,liam-scales,2026-09-01T00:00,yes,,,99
report-2026-08-29-st-johnstone-v-heart-of-midlothian,2026-08-29,,Ruari Paton and Oisin McEntee score but St. Johnstone fall to Heart of Midlothian 2-1,"Premiership: Ruari Paton (1 goal, rated 7.6); Oisin McEntee (rated 7.6).","St. Johnstone lose to Heart of Midlothian 1-2 in the Premiership on Saturday 29 August.

## The Irish on the pitch
- [Ruari Paton](/player/ruari-paton.html) scored 1, played 73 minutes, finished on a 7.6 match rating. That leaves the season at 1 goal and 0 assists in 3 appearances.
- [Oisin McEntee](/player/oisin-mcentee.html) played 90 minutes, finished on a 7.6 match rating. That leaves the season at 1 goal and 0 assists in 3 appearances.",Jack Deane,,ruari-paton,2026-09-01T00:00,yes,,,98
report-2026-08-29-hartford-athletic-v-birmingham-legion-fc,2026-08-29,,Barry Coffey scores as Hartford Athletic beat Birmingham Legion FC 3-2,"USL Championship: Barry Coffey (1 goal, rated 8.3).","Hartford Athletic beat Birmingham Legion FC 3-2 in the USL Championship on Saturday 29 August.

## The Irish on the pitch
- [Barry Coffey](/player/barry-coffey.html) scored 1, played 82 minutes, finished on a 8.3 match rating. That leaves the season at 5 goals and 1 assist in 16 appearances.",Jack Deane,,barry-coffey,2026-09-01T00:00,yes,,,89
report-2026-08-29-grimsby-town-v-fleetwood-town,2026-08-29,,Cian Doyle scores as Grimsby Town draw 2-2 with Fleetwood Town,"League Two: Cian Doyle (1 goal, rated 8.0).","Grimsby Town draw with Fleetwood Town 2-2 in the League Two on Saturday 29 August.

## The Irish on the pitch
- [Cian Doyle](/player/cian-doyle.html) scored 1, played 83 minutes, finished on a 8.0 match rating. That leaves the season at 1 goal and 0 assists in 3 appearances.",Jack Deane,,cian-doyle,2026-09-01T00:00,yes,,,80
report-2026-08-29-gillingham-v-northampton-town,2026-08-29,,Conor McManus scores as Gillingham draw 1-1 with Northampton Town,"League Two: Conor McManus (1 goal, rated 7.9).","Gillingham draw with Northampton Town 1-1 in the League Two on Saturday 29 August.

## The Irish on the pitch
- [Conor McManus](/player/conor-mcmanus.html) scored 1, played 82 minutes, finished on a 7.9 match rating. That leaves the season at 1 goal and 0 assists in 2 appearances.",Jack Deane,,conor-mcmanus,2026-09-01T00:00,yes,,,77
