slug,date,season,from_club,to_club,fee,market_value,kind
kealan-dillon,2012-07-01,12/13,Derby U18,Hull U18,?,-,
keith-buckley,2026-01-01,25/26,Bohemians,Dundalk FC,free transfer,€50k,free
keith-buckley,2023-01-01,22/23,B. Spartans,Bohemians,free transfer,€75k,free
keith-buckley,2022-01-01,21/22,Bohemians,B. Spartans,free transfer,€75k,free
keith-buckley,2018-01-04,17/18,Bray Wanderers,Bohemians,free transfer,-,free
keith-buckley,2017-01-01,16/17,Bohemians,Bray Wanderers,free transfer,-,free
keith-buckley,2011-01-01,10/11,Bohs Academy,Bohemians,-,-,
keith-ward,2026-02-06,25/26,Dundalk FC,Retired,-,-,
keith-ward,2025-01-16,24/25,Glenavon,Dundalk FC,free transfer,-,free
keith-ward,2024-08-01,24/25,Shelbourne,Glenavon,free transfer,€50k,free
keith-ward,2024-01-01,23/24,Dundalk FC,Shelbourne,free transfer,€50k,free
keith-ward,2022-01-01,21/22,Bohemians,Dundalk FC,free transfer,€50k,free
keith-ward,2017-01-01,16/17,Derry City,Bohemians,free transfer,€50k,free
keith-ward,2016-02-24,15/16,Sligo Rovers,Derry City,free transfer,€50k,free
keith-ward,2015-01-01,14/15,Dundalk FC,Sligo Rovers,free transfer,€50k,free
keith-ward,2013-01-01,12/13,Bohemians,Dundalk FC,free transfer,€50k,free
keith-ward,2012-01-01,11/12,Dundalk FC,Bohemians,free transfer,€50k,free
keith-ward,2011-01-01,10/11,UCD,Dundalk FC,free transfer,€50k,free
keith-ward,2008-07-01,08/09,Bohs Academy,UCD,free transfer,-,free
keleb-nwubani,2026-07-01,26/27,Rot Weiss Ahlen,E. Ettelbrück,free transfer,-,free
keleb-nwubani,2026-01-02,25/26,VfL Bochum II,Rot Weiss Ahlen,free transfer,-,free
keleb-nwubani,2024-07-01,24/25,Pr. Münster II,VfL Bochum II,free transfer,-,free
keleb-nwubani,2022-07-01,22/23,TuS Erndtebrück,Pr. Münster II,free transfer,-,free
keleb-nwubani,2020-07-01,20/21,Brentford U18,TuS Erndtebrück,free transfer,-,free
kevin-doherty,2010-01-01,09/10,Shelbourne,Retired,-,-,
kevin-doherty,2009-01-01,08/09,Bray Wanderers,Shelbourne,free transfer,-,free
kevin-doherty,2008-01-01,07/08,Longford Town,Bray Wanderers,free transfer,-,free
kevin-doherty,2006-01-01,05/06,Shelbourne,Longford Town,free transfer,-,free
kevin-doherty,2005-12-01,05/06,Waterford Utd,Shelbourne,End of loan,-,loan end
kevin-doherty,2005-01-01,04/05,Shelbourne,Waterford Utd,loan transfer,-,loan
kevin-doherty,2001-07-01,01/02,Liverpool,Shelbourne,free transfer,-,free
kevin-doherty,1998-07-01,98/99,Liverpool U18,Liverpool,-,-,
kevin-long,2026-03-15,25/26,Without Club,Waterford FC,-,€200k,
kevin-long,2026-01-01,25/26,Toronto,Without Club,-,€200k,
kevin-long,2024-02-20,23/24,Birmingham,Toronto,?,€300k,
kevin-long,2023-01-05,22/23,Burnley,Birmingham,free transfer,€500k,free
kevin-long,2016-05-31,15/16,MK Dons,Burnley,End of loan,€350k,loan end
kevin-long,2016-03-24,15/16,Burnley,MK Dons,loan transfer,€500k,loan
kevin-long,2016-02-19,15/16,Barnsley,Burnley,End of loan,€500k,loan end
kevin-long,2015-11-19,15/16,Burnley,Barnsley,loan transfer,€500k,loan
kevin-long,2012-09-21,12/13,Portsmouth,Burnley,End of loan,€50k,loan end
kevin-long,2012-08-18,12/13,Burnley,Portsmouth,loan transfer,€50k,loan
kevin-long,2012-04-30,11/12,Rochdale,Burnley,End of loan,€50k,loan end
kevin-long,2012-01-27,11/12,Burnley,Rochdale,loan transfer,€50k,loan
kevin-long,2012-01-05,11/12,Accrington,Burnley,End of loan,€50k,loan end
kevin-long,2011-08-05,11/12,Burnley,Accrington,loan transfer,€50k,loan
kevin-long,2011-05-23,10/11,Accrington,Burnley,End of loan,€50k,loan end
kevin-long,2010-10-15,10/11,Burnley,Accrington,loan transfer,€50k,loan
kevin-long,2010-01-01,09/10,Cork City,Burnley,€350k,-,fee
kevin-long,2009-01-01,08/09,Cork Academy,Cork City,-,-,
kevin-otoole,2022-01-11,21/22,PrincetonTigers,New York City,draft,-,fee
kevin-otoole,2021-08-01,21/22,NYRB U-23,PrincetonTigers,End of loan,-,loan end
kevin-otoole,2021-05-01,20/21,PrincetonTigers,NYRB U-23,loan transfer,-,loan
kevin-otoole,2019-08-01,19/20,NYRB U-23,PrincetonTigers,End of loan,-,loan end
kevin-otoole,2019-05-01,18/19,PrincetonTigers,NYRB U-23,loan transfer,-,loan
kevin-otoole,2018-08-01,18/19,NYRB U-23,PrincetonTigers,End of loan,-,loan end
kevin-otoole,2018-05-01,17/18,PrincetonTigers,NYRB U-23,loan transfer,-,loan
kevin-otoole,2017-08-01,17/18,NYRB Academy,PrincetonTigers,free transfer,-,free
kevin-otoole,2017-07-31,17/18,NYRB II,NYRB Academy,End of loan,-,loan end
kevin-otoole,2017-03-23,16/17,NYRB Academy,NYRB II,loan transfer,-,loan
kevin-otoole,2016-11-30,16/17,NYRB II,NYRB Academy,End of loan,-,loan end
kevin-otoole,2016-04-16,15/16,NYRB Academy,NYRB II,loan transfer,-,loan
kevin-toner,2026-07-01,26/27,Minera,Without Club,-,€100k,
kevin-toner,2025-07-01,25/26,Orihuela CF,Minera,free transfer,€150k,free
kevin-toner,2024-07-01,24/25,CF La Nucía,Orihuela CF,free transfer,€150k,free
kevin-toner,2020-09-17,20/21,Without Club,CF La Nucía,-,€100k,
kevin-toner,2019-11-24,19/20,St. Pat's,Without Club,-,€100k,
kevin-toner,2018-01-01,17/18,Aston Villa U23,St. Pat's,?,€100k,
kevin-toner,2017-11-27,17/18,Stevenage,Aston Villa U23,End of loan,€100k,loan end
kevin-toner,2017-08-24,17/18,Aston Villa U23,Stevenage,loan transfer,€100k,loan
kevin-toner,2017-05-31,16/17,Bradford,Aston Villa U23,End of loan,€100k,loan end
kevin-toner,2017-01-31,16/17,Aston Villa U23,Bradford,loan transfer,€100k,loan
kevin-toner,2017-01-01,16/17,Walsall,Aston Villa U23,End of loan,€100k,loan end
kevin-toner,2016-08-26,16/17,Aston Villa U23,Walsall,loan transfer,-,loan
kevin-toner,2015-10-18,15/16,Kidderminster,Aston Villa U21,End of loan,-,loan end
kevin-toner,2015-09-18,15/16,Aston Villa U21,Kidderminster,loan transfer,-,loan
kevin-toner,2014-07-01,14/15,Aston Villa U18,Aston Villa U21,-,-,
kevin-toner,2012-07-01,12/13,Farm Academy,Aston Villa U18,?,-,
kevin-zefi,2026-05-28,25/26,Without Club,Sligo Rovers,-,€50k,
kevin-zefi,2025-07-01,25/26,Roma U20,Without Club,-,€100k,
kevin-zefi,2024-01-12,23/24,Inter U19,Roma U19,free transfer,-,free
kevin-zefi,2022-11-01,22/23,Inter U18,Inter U19,-,-,
kevin-zefi,2022-07-01,22/23,Inter U17,Inter U18,-,-,
kevin-zefi,2021-08-31,21/22,Shamrock Rovers,Inter U17,?,-,
kevin-zefi,2021-01-01,20/21,Rovers Academy,Shamrock Rovers,-,-,
kevin-zefi,2019-07-01,19/20,St. Kevins Boys,Rovers Academy,free transfer,-,free
kian-brunton,2026-07-31,26/27,Athlone Town,Longford Town,free transfer,-,free
kian-brunton,2026-07-10,26/27,Athlone Academy,Athlone Town,-,-,
kian-corbally,2026-07-01,26/27,Ballymena Utd,Dunfermline A.,?,€200k,
kian-corbally,2025-01-14,24/25,Wexford FC,Ballymena Utd,free transfer,-,free
kian-corbally,2023-02-20,22/23,St. Pat's,Wexford FC,free transfer,€50k,free
kian-corbally,2022-11-30,22/23,Longford Town,St. Pat's,End of loan,€50k,loan end
kian-corbally,2022-07-14,22/23,St. Pat's,Longford Town,loan transfer,€50k,loan
kian-corbally,2021-10-01,21/22,Pat's Academy,St. Pat's,-,-,
kian-leavy,2023-07-06,23/24,Reading U21,St. Pat's,free transfer,€50k,free
kian-leavy,2023-06-30,22/23,Shelbourne,Reading U21,End of loan,€50k,loan end
kian-leavy,2023-02-08,22/23,Reading U21,Shelbourne,loan transfer,-,loan
kian-leavy,2020-07-01,20/21,Reading U18,Reading U23,-,-,
kian-leavy,2018-07-01,18/19,Pat's Academy,Reading U18,?,-,
kian-mcmahon-brown,2026-07-01,26/27,Burnley U18,Burnley U21,-,-,
kian-mcmahon-brown,2024-07-01,24/25,Burnley Youth,Burnley U18,-,-,
kian-quigley,2025-08-07,25/26,Pat's Academy,St. Pat's,-,-,
kieran-cruise,2025-01-01,24/25,Bray Wanderers,Drogheda United,free transfer,-,free
kieran-cruise,2024-01-01,23/24,Shamrock Rovers,Bray Wanderers,free transfer,€50k,free
kieran-cruise,2021-11-05,21/22,Rovers Academy,Shamrock Rovers,-,-,
kieran-morrison,2026-08-20,26/27,Liverpool U21,Sheff Wed,loan transfer,-,loan
kieran-morrison,2024-07-01,24/25,Liverpool U18,Liverpool U21,-,-,
kieran-morrison,2023-07-01,23/24,Liverpool Youth,Liverpool U18,-,-,
kieran-ohara,2025-09-16,25/26,Without Club,Dundee FC,-,€150k,
kieran-ohara,2025-07-01,25/26,Kilmarnock FC,Without Club,-,€150k,
kieran-ohara,2023-07-11,23/24,Colchester Utd.,Kilmarnock FC,free transfer,€150k,free
kieran-ohara,2022-08-03,22/23,Fleetwood,Colchester Utd.,free transfer,-,free
kieran-ohara,2022-02-01,21/22,Burton Albion,Fleetwood,free transfer,-,free
kieran-ohara,2021-11-27,21/22,Scunthorpe Utd.,Burton Albion,End of loan,-,loan end
kieran-ohara,2021-11-20,21/22,Burton Albion,Scunthorpe Utd.,loan transfer,-,loan
kieran-ohara,2020-09-11,20/21,Man Utd U23,Burton Albion,free transfer,-,free
kieran-ohara,2020-05-31,19/20,Burton Albion,Man Utd U23,End of loan,-,loan end
kieran-ohara,2019-07-08,19/20,Man Utd U23,Burton Albion,loan transfer,-,loan
kieran-ohara,2019-05-31,18/19,Macclesfield,Man Utd U23,End of loan,-,loan end
kieran-ohara,2018-08-15,18/19,Man Utd U23,Macclesfield,loan transfer,-,loan
kieran-ohara,2016-05-31,15/16,Morecambe FC,Man Utd U21,End of loan,-,loan end
kieran-ohara,2016-01-12,15/16,Man Utd U21,Morecambe FC,loan transfer,-,loan
kieran-ohara,2015-12-01,15/16,Stockport,Man Utd U21,End of loan,-,loan end
kieran-ohara,2015-11-26,15/16,Man Utd U21,Stockport,loan transfer,-,loan
kieran-ohara,2015-10-01,15/16,Morecambe FC,Man Utd U21,End of loan,-,loan end
kieran-ohara,2015-09-01,15/16,Man Utd U21,Morecambe FC,loan transfer,-,loan
kieran-ohara,2015-03-01,14/15,Fylde,Man Utd U21,End of loan,-,loan end
kieran-ohara,2015-01-31,14/15,Man Utd U21,Fylde,loan transfer,-,loan
kieran-ohara,2014-07-01,14/15,Man Utd U18,Man Utd U21,-,-,
kieran-ohara,2014-05-31,13/14,Trafford,Man Utd U18,End of loan,-,loan end
kieran-ohara,2013-08-01,13/14,Man Utd U18,Trafford,loan transfer,-,loan
kieran-sadlier,2026-01-21,25/26,Without Club,Sporting JAX,-,€125k,
kieran-sadlier,2025-07-01,25/26,Wycombe,Without Club,-,€150k,
kieran-sadlier,2023-09-04,23/24,Bolton,Wycombe,free transfer,€250k,free
kieran-sadlier,2023-05-31,22/23,Leyton Orient,Bolton,End of loan,€250k,loan end
kieran-sadlier,2023-01-27,22/23,Bolton,Leyton Orient,loan transfer,€300k,loan
kieran-sadlier,2022-01-28,21/22,Rotherham,Bolton,?,€400k,
kieran-sadlier,2020-08-11,20/21,Doncaster,Rotherham,free transfer,-,free
kieran-sadlier,2019-01-01,18/19,Cork City,Doncaster,free transfer,-,free
kieran-sadlier,2017-07-03,17/18,Sligo Rovers,Cork City,€50k,-,fee
kieran-sadlier,2016-01-11,15/16,Peterborough,Sligo Rovers,?,-,
kieran-sadlier,2016-01-09,15/16,Halifax Town,Peterborough,End of loan,-,loan end
kieran-sadlier,2015-10-09,15/16,Peterborough,Halifax Town,loan transfer,-,loan
kieran-sadlier,2015-07-20,15/16,St. Mirren,Peterborough,free transfer,-,free
kieran-sadlier,2015-02-02,14/15,West Ham U21,St. Mirren,free transfer,-,free
kieran-sadlier,2013-07-01,13/14,West Ham U18,West Ham U21,-,-,
killian-brouder,2019-07-22,19/20,Limerick FC,Galway United,free transfer,-,free
killian-brouder,2018-07-01,17/18,LFC Academy,Limerick FC,-,-,
killian-cahill,2025-07-01,25/26,Brighton U21,Leyton Orient,free transfer,€150k,free
killian-cahill,2023-02-14,22/23,Bognor Regis,Brighton U21,End of loan,-,loan end
killian-cahill,2023-01-02,22/23,Brighton U21,Bognor Regis,loan transfer,-,loan
killian-cahill,2022-07-01,22/23,Brighton U18,Brighton U21,-,-,
killian-cahill,2022-01-06,21/22,Rovers Academy,Brighton U18,?,-,
killian-cantwell,2026-07-22,26/27,Kerry FC,Treaty United,free transfer,-,free
killian-cantwell,2026-01-01,25/26,Bray Wanderers,Kerry FC,free transfer,-,free
killian-cantwell,2024-01-01,23/24,Waterford FC,Bray Wanderers,free transfer,€25k,free
killian-cantwell,2022-01-02,21/22,Athlone Town,Waterford FC,free transfer,-,free
killian-cantwell,2021-01-01,20/21,Bray Wanderers,Athlone Town,free transfer,-,free
killian-cantwell,2019-02-01,18/19,Limerick FC,Bray Wanderers,free transfer,-,free
killian-cantwell,2018-02-08,17/18,Finn Harps,Limerick FC,free transfer,-,free
killian-cantwell,2017-01-01,16/17,Galway United,Finn Harps,free transfer,-,free
killian-cantwell,2015-01-01,14/15,Wexford Youths,Galway United,free transfer,-,free
killian-cantwell,2013-07-01,13/14,UCD Academy,Wexford Youths,free transfer,-,free
killian-phillips,2025-07-01,25/26,Palace U21,St. Mirren,free transfer,€450k,free
killian-phillips,2025-06-30,24/25,St. Mirren,Palace U21,End of loan,€450k,loan end
killian-phillips,2024-08-21,24/25,Palace U21,St. Mirren,loan transfer,€300k,loan
killian-phillips,2024-05-31,23/24,Aberdeen FC,Palace U21,End of loan,€300k,loan end
killian-phillips,2024-01-28,23/24,Palace U21,Aberdeen FC,loan transfer,€300k,loan
killian-phillips,2024-01-27,23/24,Wycombe,Palace U21,End of loan,€300k,loan end
killian-phillips,2023-08-11,23/24,Palace U21,Wycombe,loan transfer,€150k,loan
killian-phillips,2023-05-31,22/23,Shrewsbury,Palace U21,End of loan,€150k,loan end
killian-phillips,2023-01-01,22/23,Palace U21,Shrewsbury,loan transfer,€75k,loan
killian-phillips,2022-01-11,21/22,Drogheda United,Palace U23,€50k,€75k,fee
killian-phillips,2020-08-01,20/21,Drogs Academy,Drogheda United,-,-,
killian-phillips,2019-07-01,19/20,Kilbarrack Utd,Drogs Academy,?,-,
kyle-degelman,2026-03-02,25/26,Without Club,Chanmari FC,-,€25k,
kyle-degelman,2026-01-01,25/26,Kirivong FC,Without Club,-,€25k,
kyle-degelman,2025-07-13,25/26,Bray Wanderers,Kirivong FC,free transfer,-,free
kyle-degelman,2025-02-03,24/25,Lynx FC,Bray Wanderers,free transfer,€25k,free
kyle-degelman,2024-08-08,24/25,Bayern Hof,Lynx FC,free transfer,-,free
kyle-degelman,2024-01-03,23/24,Brinkumer SV,Bayern Hof,free transfer,-,free
kyle-degelman,2023-08-24,23/24,Hamilton United,Brinkumer SV,free transfer,-,free
kyle-degelman,2023-04-15,22/23,Unknown,Hamilton United,?,-,
kyle-degelman,2022-11-08,22/23,WSG Tirol II,Unknown,?,-,
kyle-degelman,2022-07-01,22/23,MSV Pampow,WSG Tirol II,free transfer,-,free
kyle-degelman,2022-02-17,21/22,Without Club,MSV Pampow,-,-,
kyle-degelman,2021-08-15,21/22,E. Cottbus U19,Without Club,-,-,
kyle-degelman,2021-07-01,21/22,Zehlendorf U17,E. Cottbus U19,free transfer,-,free
kyle-degelman,2020-07-01,20/21,Whitecaps Acad.,Zehlendorf U17,free transfer,-,free
kyle-mcdonagh,2023-08-04,23/24,Sligo Academy,Sligo Rovers,-,-,
kyle-robinson,2026-07-01,26/27,Longford Town,HW Welders,free transfer,-,free
kyle-robinson,2025-07-25,25/26,Athlone Town,Longford Town,free transfer,-,free
kyle-robinson,2024-07-04,24/25,Arbroath,Athlone Town,free transfer,€75k,free
kyle-robinson,2024-01-12,23/24,Drogheda United,Arbroath,free transfer,€75k,free
kyle-robinson,2023-07-13,23/24,Shelbourne,Drogheda United,free transfer,€75k,free
kyle-robinson,2023-01-01,22/23,St. Pat's,Shelbourne,free transfer,€75k,free
kyle-robinson,2021-11-30,21/22,Wexford FC,St. Pat's,End of loan,-,loan end
kyle-robinson,2021-02-26,20/21,Pat's Academy,Wexford FC,loan transfer,-,loan
kyle-robinson,2019-07-01,19/20,Drogs Academy,Pat's Academy,free transfer,-,free
lee-axworthy,2026-07-01,26/27,Bangor,Without Club,-,€10k,
lee-axworthy,2026-02-21,25/26,Without Club,Bangor,-,-,
lee-axworthy,2026-01-01,25/26,Athlone Town,Without Club,-,-,
lee-axworthy,2024-07-04,24/25,TFA Dubai,Athlone Town,free transfer,-,free
lee-axworthy,2024-02-26,23/24,Kerry FC,TFA Dubai,free transfer,-,free
lee-axworthy,2023-07-15,23/24,Welwyn GC,Kerry FC,free transfer,-,free
lee-axworthy,2023-03-01,22/23,Holmer Green,Welwyn GC,free transfer,-,free
lee-axworthy,2022-04-01,21/22,Kings Langley,Holmer Green,free transfer,-,free
lee-axworthy,2020-07-01,20/21,Met Police,Kings Langley,free transfer,-,free
lee-axworthy,2020-04-01,19/20,Holmer Green,Met Police,free transfer,-,free
lee-axworthy,2020-01-01,19/20,Hendon,Holmer Green,free transfer,-,free
lee-axworthy,2019-07-01,19/20,Brentford B,Hendon,free transfer,-,free
lee-axworthy,2018-07-01,18/19,Brentford U18,Brentford B,-,-,
lee-desmond,2022-01-01,21/22,St. Pat's,Sacramento FC,free transfer,€75k,free
lee-desmond,2015-01-01,14/15,Shelbourne,St. Pat's,free transfer,-,free
lee-desmond,2013-07-04,13/14,Newcastle U18,Shelbourne,free transfer,-,free
lee-desmond,2011-07-01,11/12,Cherry Orchard FC,Newcastle U18,free transfer,-,free
lee-devitt,2026-01-01,25/26,Treaty United,Galway United,free transfer,-,free
lee-devitt,2022-01-01,21/22,Cobh Ramblers,Treaty United,free transfer,-,free
lee-devitt,2020-01-22,19/20,Limerick FC,Cobh Ramblers,free transfer,-,free
lee-devitt,2019-02-22,18/19,LFC Academy,Limerick FC,-,-,
lee-grace,2017-07-31,17/18,Galway United,Shamrock Rovers,€18k,-,fee
lee-grace,2017-01-01,16/17,Wexford FC,Galway United,free transfer,-,free
lee-grace,2015-01-27,14/15,Carrick United,Wexford Youths,free transfer,-,free
lee-oconnor,2022-01-25,21/22,Celtic B,Tranmere,?,€100k,
lee-oconnor,2022-01-24,21/22,Tranmere,Celtic B,End of loan,€100k,loan end
lee-oconnor,2021-08-31,21/22,Celtic B,Tranmere,loan transfer,€100k,loan
lee-oconnor,2021-05-31,20/21,Tranmere,Celtic B,End of loan,€100k,loan end
lee-oconnor,2020-08-17,20/21,Celtic B,Tranmere,loan transfer,€100k,loan
lee-oconnor,2020-04-30,19/20,Partick Thistle,Celtic B,End of loan,€100k,loan end
lee-oconnor,2020-01-21,19/20,Celtic B,Partick Thistle,loan transfer,€100k,loan
lee-oconnor,2019-09-02,19/20,Man Utd U23,Celtic B,?,-,
lee-oconnor,2018-07-01,18/19,Man Utd U18,Man Utd U23,-,-,
lee-oconnor,2016-07-01,16/17,Villa FC,Man Utd U18,?,-,
lee-steacy,2024-01-01,23/24,Cobh Ramblers,Shamrock Rovers,free transfer,-,free
lee-steacy,2023-01-31,22/23,Drogheda United,Cobh Ramblers,free transfer,€50k,free
lee-steacy,2022-07-21,22/23,Longford Town,Drogheda United,free transfer,€50k,free
lee-steacy,2019-01-01,18/19,Shelbourne,Longford Town,free transfer,-,free
lee-steacy,2018-01-01,17/18,Bray Wanderers,Shelbourne,free transfer,-,free
lee-steacy,2016-07-06,16/17,Bohemians,Bray Wanderers,free transfer,-,free
lee-steacy,2015-01-31,14/15,Firhouse Clover,Bohemians,free transfer,-,free
lee-steacy,2012-07-01,12/13,Rovers Academy,Firhouse Clover,free transfer,-,free
lee-steacy,2011-07-01,11/12,Crumlin United,Rovers Academy,free transfer,-,free
leigh-kavanagh,2026-07-01,26/27,Bohemians,Galway United,loan transfer,€150k,loan
leigh-kavanagh,2024-07-01,24/25,Brighton U21,Bohemians,free transfer,€200k,free
leigh-kavanagh,2022-12-31,22/23,Derby U21,Brighton U21,End of loan,-,loan end
leigh-kavanagh,2022-09-01,22/23,Brighton U21,Derby U21,loan transfer,-,loan
leigh-kavanagh,2022-07-01,22/23,Brighton U18,Brighton U21,-,-,
leigh-kavanagh,2020-07-01,20/21,Bray Wanderers,Brighton U18,free transfer,-,free
leigh-kavanagh,2020-01-01,19/20,Bray Academy,Bray Wanderers,-,-,
len-osullivan,2025-07-04,25/26,Glenavon,Ross County,free transfer,€175k,free
len-osullivan,2024-01-30,23/24,Bray Wanderers,Glenavon,free transfer,-,free
len-osullivan,2023-01-01,22/23,Wexford FC,Bray Wanderers,free transfer,-,free
len-osullivan,2022-01-01,21/22,Bohs Academy,Wexford FC,free transfer,-,free
leon-ayinde,2026-07-01,26/27,Ipswich U21,Doncaster,free transfer,-,free
leon-ayinde,2026-05-31,25/26,Boreham Wood,Ipswich U21,End of loan,-,loan end
leon-ayinde,2026-02-13,25/26,Ipswich U21,Boreham Wood,loan transfer,-,loan
leon-ayinde,2025-05-31,24/25,Rochdale,Ipswich U21,End of loan,-,loan end
leon-ayinde,2024-08-30,24/25,Ipswich U21,Rochdale,loan transfer,-,loan
leon-ayinde,2023-01-31,22/23,Cork Academy,Ipswich U21,?,-,
leon-keogh,2026-07-26,26/27,Bray Wanderers,Armagh City,free transfer,-,free
leon-keogh,2025-01-01,24/25,Kilnamanagh,Bray Wanderers,free transfer,-,free
leon-keogh,2024-07-01,24/25,Shels Academy,Kilnamanagh,free transfer,-,free
leon-keogh,2022-07-01,22/23,Cherry Orchard FC,Shels Academy,free transfer,-,free
leon-keogh,2021-07-01,21/22,Bohs Academy,Cherry Orchard FC,free transfer,-,free
leon-keogh,2020-01-01,19/20,Cherry Orchard FC,Bohs Academy,free transfer,-,free
lewis-richards,2026-01-16,25/26,Bradford,Crawley Town,?,€150k,
lewis-richards,2023-08-18,23/24,Wolves U21,Bradford,€35k,€175k,fee
lewis-richards,2023-05-31,22/23,Harrogate Town,Wolves U21,End of loan,€175k,loan end
lewis-richards,2022-07-08,22/23,Wolves U21,Harrogate Town,loan transfer,-,loan
lewis-richards,2022-05-31,21/22,Harrogate Town,Wolves U23,End of loan,-,loan end
lewis-richards,2022-01-13,21/22,Wolves U23,Harrogate Town,loan transfer,-,loan
lewis-richards,2020-07-01,20/21,Wolves U18,Wolves U23,-,-,
lewis-richards,2018-07-01,18/19,Wolves Yth.,Wolves U18,-,-,
lewis-richards,2016-07-01,16/17,Brentford Yth.,Wolves Yth.,free transfer,-,free
lewis-temple,2026-08-06,26/27,Bolton,Oldham Athletic,loan transfer,€100k,loan
lewis-temple,2026-01-06,25/26,Shelbourne,Bolton,€100k,€100k,fee
lewis-temple,2024-11-30,24/25,Wexford FC,Shelbourne,End of loan,€25k,loan end
lewis-temple,2024-07-02,24/25,Shelbourne,Wexford FC,loan transfer,€25k,loan
lewis-temple,2023-11-30,23/24,Longford Town,Shelbourne,End of loan,-,loan end
lewis-temple,2023-07-06,23/24,Shelbourne,Longford Town,loan transfer,-,loan
lewis-temple,2022-06-17,21/22,Shels Academy,Shelbourne,-,-,
lewis-temple,2021-02-01,20/21,Bray Academy,Shels Academy,free transfer,-,free
liam-bossin,2025-07-01,25/26,FC Dordrecht,Feyenoord,?,€450k,
liam-bossin,2025-06-30,24/25,Feyenoord,FC Dordrecht,End of loan,€450k,loan end
liam-bossin,2025-01-23,24/25,FC Dordrecht,Feyenoord,loan transfer,€450k,loan
liam-bossin,2024-07-19,24/25,KV Oostende,FC Dordrecht,free transfer,€400k,free
liam-bossin,2023-07-28,23/24,FC Dordrecht,KV Oostende,€250k,€400k,fee
liam-bossin,2021-01-15,20/21,Cork City,FC Dordrecht,free transfer,€100k,free
liam-bossin,2020-01-01,19/20,Without Club,Cork City,-,€100k,
liam-bossin,2019-07-01,19/20,Nott'm Forest,Without Club,-,€100k,
liam-bossin,2017-07-12,17/18,RSC Anderlecht,Nott'm Forest,free transfer,€100k,free
liam-bossin,2015-07-01,15/16,Anderlecht U21,RSC Anderlecht,-,-,
liam-bossin,2013-07-01,13/14,White Star,Anderlecht U21,?,-,
liam-delap,2026-08-27,26/27,Chelsea,Nott'm Forest,€52.50m,€28.00m,fee
liam-delap,2025-06-04,25/26,Ipswich,Chelsea,€35.50m,€40.00m,fee
liam-delap,2024-07-13,24/25,Man City U21,Ipswich,€17.85m,€8.00m,fee
liam-delap,2024-05-31,23/24,Hull City,Man City U21,End of loan,€8.00m,loan end
liam-delap,2023-07-02,23/24,Man City U21,Hull City,loan transfer,€5.00m,loan
liam-delap,2023-05-31,22/23,Preston,Man City U21,End of loan,€7.00m,loan end
liam-delap,2023-01-12,22/23,Man City U21,Preston,loan transfer,€7.00m,loan
liam-delap,2023-01-11,22/23,Stoke City,Man City U21,End of loan,€7.00m,loan end
liam-delap,2022-08-18,22/23,Man City U21,Stoke City,loan transfer,€1.50m,loan
liam-delap,2020-07-01,20/21,Man City U18,Man City U23,-,-,
liam-delap,2019-07-01,19/20,Derby Youth,Man City U18,€1.30m,-,fee
liam-kelly,2026-08-13,26/27,MK Dons,Peterborough,?,€300k,
liam-kelly,2024-07-04,24/25,Crawley Town,MK Dons,?,€300k,
liam-kelly,2023-07-01,23/24,Rochdale,Crawley Town,free transfer,€200k,free
liam-kelly,2021-08-24,21/22,Feyenoord,Rochdale,free transfer,€475k,free
liam-kelly,2021-06-30,20/21,Oxford United,Feyenoord,End of loan,€475k,loan end
liam-kelly,2020-08-21,20/21,Feyenoord,Oxford United,loan transfer,€475k,loan
liam-kelly,2020-07-14,19/20,Oxford United,Feyenoord,End of loan,€475k,loan end
liam-kelly,2020-01-08,19/20,Feyenoord,Oxford United,loan transfer,€600k,loan
liam-kelly,2019-07-08,19/20,Reading,Feyenoord,free transfer,€1.00m,free
liam-kelly,2016-07-01,16/17,Reading U23,Reading,-,-,
liam-kelly,2013-07-01,13/14,Reading U18,Reading U21,-,-,
liam-kerrigan,2026-07-14,26/27,Ternana,Renate,free transfer,€150k,free
liam-kerrigan,2025-08-21,25/26,Como,Ternana,free transfer,€200k,free
liam-kerrigan,2025-06-30,24/25,SK Beveren,Como,End of loan,€200k,loan end
liam-kerrigan,2024-08-31,24/25,Como,SK Beveren,loan transfer,€175k,loan
liam-kerrigan,2024-06-30,23/24,Novara,Como,End of loan,€175k,loan end
liam-kerrigan,2024-01-26,23/24,Como,Novara,loan transfer,€200k,loan
liam-kerrigan,2022-07-18,22/23,UCD,Como,free transfer,€100k,free
liam-kerrigan,2019-07-22,19/20,Sligo Rovers,UCD,free transfer,-,free
liam-kerrigan,2019-01-01,18/19,Sligo Academy,Sligo Rovers,-,-,
liam-kinsella,2026-01-22,25/26,Cheltenham,Hednesford,free transfer,€150k,free
liam-kinsella,2024-01-24,23/24,Swindon Town,Cheltenham,?,€150k,
liam-kinsella,2023-07-28,23/24,Walsall,Swindon Town,free transfer,€150k,free
liam-kinsella,2014-07-01,14/15,Walsall U18,Walsall,-,-,
liam-mullan,2026-07-01,26/27,HW Welders,Institute,free transfer,-,free
liam-mullan,2025-07-01,25/26,Derry City,HW Welders,?,-,
liam-mullan,2025-06-30,24/25,HW Welders,Derry City,End of loan,-,loan end
liam-mullan,2025-02-03,24/25,Derry City,HW Welders,loan transfer,-,loan
