slug,league,club,club_id,age,born,foot,senior_caps,senior_goals,senior_debut,youth,season,s_apps,s_starts,s_goals,s_assists,s_mins,s_yellow,s_red,c_apps,c_goals,c_assists,avg_rating,source
scott-brady,First Division,Longford Town,4569,20,,,,,,,2025,2,0,0,0,49,1,0,4,0,0,6.19,auto
scott-davies,National League,Aldershot Town,8465,38,,Right,,,,U21:::2010,2026/27,1,,0,0,90,,,494,39,0,,auto
seamus-maughan,Premier Division,Sligo Rovers,6361,16,,,,,,,,,,,,,,,,,,,auto
sean-boyd,Premier Division,Shelbourne,5751,28,,Right,,,,,2026,18,6,2,0,684,3,1,229,55,8,6.37,auto
sean-gannon,Premier Division,Shelbourne,5751,35,,,,,,,2026,19,9,0,1,953,6,0,486,13,6,6.68,auto
sean-hoare,Premier Division,St. Patrick's Athletic,1854,32,,,,,,U21:2:0:2015,2026,22,22,2,1,1818,5,1,371,24,3,7.41,auto
sean-keane,Premier Division,Waterford FC,6042,19,,,,,,,2025,1,0,0,0,11,0,0,1,0,0,6.16,auto
sean-mcgrath,Premier Division,Drogheda United,8339,17,,,,,,,2026,1,0,0,0,15,0,0,1,0,0,5.65,auto
sean-mchale,Premier Division,Sligo Rovers,6361,21,,Left,,,,U17:3:0:2022,2026,17,17,1,0,1496,2,0,67,5,0,6.74,auto
sean-molloy,Premier Division,St. Patrick's Athletic,1854,22,,,,,,,,,,,,,,,2,0,0,,auto
sean-moore,Premier Division,Shelbourne,5751,21,,,,,,U19:3:0:2023,2026,7,0,0,0,143,0,0,56,9,1,6.17,auto
sean-spaight,Premier Division,Dundalk,1853,17,,,,,,U17:10:0:2025,2026,4,2,0,0,179,0,0,12,0,0,6.46,auto
senan-mullen,Premier Division,Bohemian FC,4594,21,,Left,,,,U19:2:0:2023; U17:1:0:2022,2026,18,16,0,1,1333,4,0,30,0,1,7.31,auto
shadrach-ogie,National League,Woking,8345,25,,Left,,,,,2026/27,3,2,0,,193,1,0,203,4,4,,auto
shamir-fenelon,Isthmian Premier Division,Burgess Hill Town,282340,32,,,,,,U21:1:0:2015,,,,,,,,,271,42,3,,auto
shane-farrell,Premier Division,Drogheda United,8339,26,,Right,,,,,2026,26,20,5,0,1742,9,0,243,22,16,6.79,auto
shane-flynn,Premier League,Connah's Quay Nomads,2193,24,,,,,,U18:1:0:2018,2026/27,2,,0,0,180,,,18,0,0,,auto
