Treaty United|Jason Folarin Oyenuga|FWD
Treaty United|Fuhad Kareem|FWD
Treaty United|Dare Kareem|FWD
Treaty United|Tadhg McElligott|FWD
Treaty United|Mark Murphy|FWD
Treaty United|Colm Whelan|FWD
Finn Harps|Ryan McConnell|GK
Finn Harps|Lorenzo Piaia|GK
Finn Harps|Corey Sheridan|GK
Finn Harps|Joel Bradley Walsh|DEF
Finn Harps|Oran Brogan|DEF
Finn Harps|Darragh Coyle|DEF
Finn Harps|James McAteer|DEF
Finn Harps|Troy Preston Holder|DEF
Finn Harps|Conor Tourish|DEF
Finn Harps|Charlie Bonner|MID
Finn Harps|Tiarnan Callahan McElwaine|MID
Finn Harps|Lukas Doherty|MID
Finn Harps|Gavin Friel|MID
Finn Harps|Ciaron Harkin|MID
Finn Harps|Max Hutchison|MID
Finn Harps|Gavin McAteer|MID
Finn Harps|Adam McDaid|MID
Finn Harps|Conor McGranaghan|MID
Finn Harps|Finn McKenlay|MID
Finn Harps|Tony McNamee|MID
Finn Harps|Bernardo Monteiro|MID
Finn Harps|Guilherme Rego Priosti|MID
Finn Harps|Bridel Bosakani|FWD
Finn Harps|Shaunie Bradley|FWD
Finn Harps|Ashton Crossan|FWD
Finn Harps|Odhran McHugh|FWD
Finn Harps|Aaron McLaughlin|FWD
Finn Harps|Guilherme Tavares|FWD
Finn Harps|Ronan Ferns|UNK
